province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Amnat Charoen,1,2011,15,372241,25.04579105,15816.29521,15619.29521,19.46542753,14093.59122,93.80326742,103.2599961,11.13291685
Ang Thong,2,2011,15,284061,19.11270508,23426.86803,23229.86803,11.37098405,19134.7528,132.8026699,249.6754101,21.02756879
Bangkok Metropolis,3,2011,136,5674843,381.8250328,49759.27425,49562.27425,3.971482228,31896.10984,3478.753667,9877.476599,493.9809757
Bueng Kan,4,2011,16,407634,27.42716678,17420.63623,17223.63623,4.419098075,15850.78284,97.17362393,103.9045129,18.81934774
Buri Ram,5,2011,82,1559085,104.9011719,16775.13139,16578.13139,34.64109446,13042.21393,370.0393186,279.4263774,28.97962876
Chachoengsao,6,2011,38,679370,45.71059896,26257.9581,26060.9581,4.781991304,20829.42425,325.9561555,956.0919657,62.99180828
Chai Nat,7,2011,12,333256,22.42273189,24166.93872,23969.93872,16.29414732,16781.47982,149.6185397,183.544673,21.6043599
Chaiyaphum,8,2011,62,1127423,75.85730987,15756.12174,15559.12174,19.23684366,13505.86693,305.3298273,232.6378187,27.8103847
Chanthaburi,9,2011,47,516855,34.7759713,23744.81129,23547.81129,12.04799182,18072.3897,261.8461016,506.1448296,38.21625082
Chiang Mai,10,2011,212,1646144,110.7588328,17810.44629,17613.44629,14.10961218,15218.79515,479.81317,1992.50858,105.2988295
Chiang Rai,11,2011,137,1198656,80.65013719,14991.24035,14794.24035,24.4197305,12003.23372,323.6580991,429.4875225,64.3504813
Chon Buri,12,2011,92,1338656,90.06986996,24284.56578,24087.56578,1.362494665,22666.10365,722.6824277,2499.330815,165.6650204
Chumphon,13,2011,48,492182,33.11587797,27854.59477,27657.59477,4.533464792,21528.91898,322.4862098,354.5288367,69.24755953
Kalasin,14,2011,38,981655,66.04948411,16694.43949,16497.43949,34.89193341,12230.19501,214.4590084,368.7175453,36.66136943
Kamphaeng Phet,15,2011,62,726009,48.84864836,19750.18027,19553.18027,11.93204772,13992.33447,241.9705482,296.1596917,35.73683567
Kanchanaburi,16,2011,63,838914,56.44532642,16002.5478,15805.5478,23.6173351,15446.86503,346.2781383,584.5635902,64.51226782
Khon Kaen,17,2011,81,1766066,118.8276413,16105.84228,15908.84228,10.69319118,12297.52225,451.7398446,806.1269161,68.20054725
Krabi,18,2011,33,438039,29.47293089,31960.87037,31763.87037,6.971116719,18592.74807,281.4221992,454.2990819,68.15799907
Lampang,19,2011,77,757534,50.96977033,18598.43231,18401.43231,14.60186254,14853.2457,175.2858311,325.5220729,36.3226374
