IZ,name,year,observed,expected,pm10,jsa,price
S02000260,Auchinairn,2007,97,98.24601631,14.026995,2.25,1.15
S02000261,Woodhill East,2007,15,45.26085014,13.30402,0.6,1.64
S02000262,Woodhill West,2007,49,92.36516784,13.30402,0.95,1.75
S02000263,Westerton East,2007,44,72.55323772,14.00985,0.35,2.385
S02000264,Bishopbriggs West and Cadder,2007,68,125.4190432,14.08074,0.8,1.645
S02000265,Westerton West,2007,24,55.04868417,14.08884,1.25,1.76
S02000266,Kessington East,2007,25,62.19395742,13.15351,0.7,2.72638
S02000267,Lenzie South,2007,24,69.33036983,12.327605,0.85,1.8505
S02000268,Bishopbriggs North and Kenmure,2007,77,133.8566888,12.66159857,0.75,1.9
S02000269,Kessington West,2007,36,83.17422511,13.538885,1,3.005
S02000270,Lenzie North,2007,69,122.6432671,12.3886225,1.1,2.08
S02000271,South Castlehill and Thorn,2007,42,90.7661316,12.9148675,0.9,2.9
S02000272,Kilmardinny West,2007,31,90.56481994,13.09278,0.5,3.05
S02000273,Kilmardinny East,2007,19,65.7206523,12.73322,0.9,2.71172
S02000274,Rosebank and Waterside,2007,38,64.76204751,11.92529,1.25,1.55498
S02000275,Kirkintilloch South,2007,45,62.56606653,12.51289,1.45,0.98
S02000276,North Castlehill and Thorn,2007,39,95.31998615,12.761805,0.6,2.1511
S02000277,Hillhead,2007,79,78.87249388,12.51523,4.5,0.975
S02000278,Torrance and Balmore,2007,27,54.89953531,11.58502867,1,2.05
S02000279,Keystone and Dougalston,2007,51,108.9217204,11.79954923,1.1,1.5225
S02000280,Harestanes,2007,58,75.36975447,12.13962,2.4,1.08
S02000281,Kirkintilloch West,2007,71,89.1283359,11.80756,1.6,1.145
S02000282,Barloch,2007,31,79.45330002,11.79997,0.8,2.19875
S02000283,Twechar and Harestanes East,2007,49,54.639617,11.39448429,2.1,1.1
S02000284,East Clober and Mains Estate,2007,53,68.01011158,12.04675,1.5,1.535
S02000285,West Clober and Mains Estate,2007,16,53.49816259,11.08216056,0.6,2.35
S02000286,Milton of Campsie,2007,51,81.08439368,10.90488143,0.85,1.625
S02000287,Lennoxtown,2007,59,89.41749168,10.42138168,2.5,1.175
S02000310,Eaglesham and Waterfoot,2007,55,98.45233085,10.39765169,0.8,1.38
S02000311,Mearnskirk and South Kirkhill,2007,58,144.5049519,11.04655625,0.6,2.94
S02000312,North Kirkhill,2007,19,63.9876724,11.91669,0.85,1.75
S02000313,"Mearns Village, Westacres and Greenfarm",2007,70,106.2674019,11.97637,1.1,1.85895
S02000314,West Neilston and Uplawmoor,2007,62,113.6471988,10.7030025,1.5,1.235
S02000316,Whitecraigs and Broom,2007,26,79.54101459,12.09315,0.7,4.3
S02000317,Clarkston and Sheddens,2007,44,117.6163295,12.79878,0.8,2.2
S02000318,Crookfur and Fruin,2007,49,126.2975654,11.976782,0.8,1.945
S02000319,Williamwood,2007,30,59.65611525,12.68933,0.5,2.4
S02000320,Stamperland,2007,40,67.16937739,12.72664,0.6,1.57298
S02000321,West Arthurlie and North Neilston,2007,72,116.4907421,11.5383,1.25,1.425
S02000322,Auchenback,2007,64,72.70789817,11.81976,3.25,0.81775
S02000323,Lower Whitecraigs and South Giffnock,2007,27,80.11605227,13.34992,0.35,3.27875
S02000324,South Thornliebank and Woodfarm,2007,65,80.86376051,13.346615,1.2,1.52
S02000325,Netherlee,2007,36,111.7400312,13.408015,0.7,2.78025
S02000326,Merrylee and Braidbar,2007,41,119.1952847,13.78247,0.6,2.0952
S02000327,North Giffnock and North Thornliebank,2007,52,94.084439,13.53038,1.1,1.4625
S02000328,"Dunterlie, East Arthurlie and Dovecothall",2007,98,117.1225938,12.11631,3,0.9
S02000329,Cross Stobbs,2007,54,70.80185046,11.91979,0.9,1.6
S02000584,Carmunnock South,2007,118,72.72480773,12.71764667,3.95,1.72495
S02000585,Glenwood South,2007,114,102.4431606,12.72441,4.65,0.9905
S02000586,Darnley West,2007,58,65.51464377,12.2803525,1.6,2.095
S02000587,Darnley East,2007,82,82.7123948,13.53271,3.6,1.14998
S02000588,Glenwood North,2007,100,70.64061501,13.54775,5.8,0.99
S02000589,Castlemilk,2007,97,101.0379847,13.47428,4,0.89998
S02000590,Darnley North,2007,47,55.19376782,12.93069,2.15,1.38
S02000591,Carmunnock North,2007,29,55.56022497,13.63396,1.5,1.5
S02000592,Carnwadric West,2007,74,88.369629,13.66712,4.35,1.2
S02000593,Muirend and Old Cathcart,2007,67,105.2131351,14.63697,1.05,1.6875
S02000594,Carnwadric East,2007,57,70.30330877,13.61213,1.8,0.95
S02000595,Kingspark South,2007,53,70.86252893,14.47882,1.45,0.92
S02000596,Newlands,2007,65,107.2040183,14.23098,2.3,1.8345
S02000597,Nitshill,2007,139,102.7741705,13.13069,4.9,0.87625
S02000598,Merrylee and Millbrae,2007,44,71.62206627,14.59056,1.2,1.81
S02000599,Cathcart,2007,55,82.54207059,14.63697,2.35,1.0595
S02000600,Kingspark North,2007,68,79.96048001,15.174,1.4,0.9728
S02000601,Crookston South,2007,85,79.67340805,13.34842,4,0.85
S02000602,Pollokshaws,2007,81,110.1062724,13.7924675,4.25,1.3
S02000603,Mount Florida,2007,57,74.67383953,15.33803,2.4,1.16
S02000604,Langside,2007,63,65.17352933,15.2156,1.5,1.41125
S02000605,Shawlands East,2007,21,50.68734285,15.2156,1.6,1.235
S02000606,Crookston North,2007,76,70.47567628,13.65778,2.6,0.95
S02000607,Battlefield,2007,67,86.80093244,15.33803,2.25,1.3
S02000608,Pollok South and West,2007,105,109.2662209,12.830025,1.35,1.50875
S02000609,Shawlands West,2007,38,60.16113978,15.32469,1.95,1.341
S02000610,Toryglen and Oatlands,2007,116,122.2784481,15.4934,5.15,0.975
S02000611,Shettleston South,2007,99,81.45125179,14.23218667,1.6,1.25
S02000612,Maxwell Park,2007,80,114.5691997,14.412275,1.05,2.7
S02000613,Carmyle and Mount Vernon South,2007,61,62.34755831,14.10911,2.85,1
S02000614,Strathbungo,2007,53,87.46305492,15.32469,2.75,1.1
S02000615,Govanhill East and Aikenhead,2007,126,79.84495627,15.4934,4.05,0.95
S02000616,Govanhill West,2007,86,95.26321483,15.55943,3.8,0.95
